from,to,time,amount,type,notes
"Po8","Lygarine","2012-11-30 07:07:53","1866.240000","SELL","Pyrotek"
"Po8","Lygarine","2012-11-30 07:07:57","1036.800000","SELL","Pyrotek"
"Po8","Lygarine","2012-11-30 07:08:00","933.120000","SELL","Pyrotek"
"Po8","KorusRay","2012-11-30 10:38:16","3660.125000","SELL","Butlerlog"
"Po8","KorusRay","2012-11-30 10:39:19","71.790000","SELL","Butlerlog"
"Po8","Lygarine","2012-11-30 13:00:39","158.400000","SELL","Megleris"
"Po8","Lygarine","2012-11-30 13:00:43","95.040000","SELL","Megleris"
"blacknbluedragon","Po8","2012-11-30 14:16:49","311.040000","BUY","Megleris"
"CertifedCupcake","Po8","2012-11-30 15:28:47","31.360000","BUY","The_Lorax"
"Po8","CertifedCupcake","2012-11-30 15:32:32","31.250000","SELL","The_Lorax"
"CertifedCupcake","Po8","2012-11-30 15:33:04","32.000000","BUY","The_Lorax"
"Po8","CertifedCupcake","2012-11-30 15:44:58","83.295000","SELL","The_Lorax"
"Sierra_G_117","Po8","2012-11-30 16:30:35","156.150000","BUY","The_Lorax"
"GreatRevival","Po8","2012-11-30 16:34:44","450.000000","BUY","myrto"
"Tengoku_Furasshu","PickleMan","2012-11-30 17:24:48","500.000000","P2P_TRANSFER","--"
"bones9302","PickleMan","2012-11-30 17:40:56","2500.000000","P2P_TRANSFER","--"
"Po8","Evil_K9","2012-11-30 17:44:54","103.680000","SELL","Butlerlog"
"Po8","bones9302","2012-11-30 17:45:00","12645.760000","SELL","Butlerlog"
"Flashplayerman","Po8","2012-11-30 18:13:29","16.000000","BUY","Butlerlog"
"Po8","Ulcano","2012-11-30 18:26:30","143.050000","SELL","Pyrotek"
"Po8","Ulcano","2012-11-30 19:26:21","356.480000","SELL","Pyrotek"
"GreatRevival","Po8","2012-11-30 19:53:32","2116.000000","BUY","The_Lorax"
"Po8","CertifedCupcake","2012-11-30 19:54:58","1173.375000","SELL","SpokenSquid"
"GreatRevival","Po8","2012-11-30 19:56:55","1863.000000","BUY","The_Lorax"
